8 1 18 
9 2 60 
57 2 18 
2 6 63 
1 2 42 78 
1 58 28 
1 2 18 
1 26 54 
2 93 30 
9 2 90 
24 3 100 
2 12 78 
40 3 4 
1 2 84 24 
88 1 10 
1 38 78 
16 3 68 
40 1 4 
1 26 12 
1 2 66 
1 52 26 12 
1 74 36 
32 1 66 
1 30 62 
40 1 82 
1 98 70 6 
96 2 3 72 
1 2 84 24 72 42 
1 42 86 
1 8 90 60 14 
1 22 46 
1 2 3 84 66 
48 2 3 
10 4 55 
2 27 84 
1 4 30 
80 3 4 
2 3 12 
42 5 6 
1 28 6 
8 72 7 
8 72 3 
96 2 15 
8 9 90 
90 4 5 
1 6 14 
12 5 78 
2 3 24 75 
2 42 6 
16 1 68 
2 66 21 
1 22 92 46 
24 1 50 
2 12 39 
48 1 2 
8 3 36 
1 92 22 
4 3 100 
1 34 70 
48 1 98 
1 10 22 
1 18 76 
1 2 3 84 27 
72 1 2 
1 46 94 
