146 44 453 
126 21 123 142 173 100 
90 191 140 46 95 49 48 
75 68 204 26 231 
-1 
47 44 23 24 22 73 50 23 20 24 20 50 50 23 23 42 54 22 23 
162 167 167 
497 
-1 
72 73 69 152 75 71 144 
-1 
98 43 105 41 48 51 121 22 161 
507 
2 10 7 2 5 18 7 3 2 32 5 4 5 25 4 21 18 13 22 10 4 3 4 26 9 53 3 7 23 6 14 2 3 21 4 12 15 5 2 7 2 2 20 3 8 10 6 14 12 6 31 7 4 3 10 2 28 6 2 24 15 3 4 4 7 5 4 14 5 6 3 6 4 3 5 13 
-1 
149 48 93 50 99 47 45 50 50 45 
20 36 10 34 159 36 14 5 49 22 6 24 44 36 34 19 20 38 79 
-1 
-1 
-1 
-1 
395 111 171 
-1 
27 95 395 20 24 26 
282 142 
75 5 126 6 6 43 4 78 13 38 41 14 4 36 14 67 
-1 
503 
76 245 145 24 
485 140 
238 116 149 25 24 25 23 66 27 
212 368 
336 68 174 94 
7 17 141 2 88 149 106 4 36 6 33 63 14 6 
24 166 115 47 28 20 23 47 74 45 
-1 
394 44 20 
-1 
7 30 101 3 2 12 52 3 192 48 47 65 141 38 
-1 
48 139 51 47 46 47 95 48 50 46 44 
68 18 70 41 157 2 74 16 104 7 60 
227 338 
25 26 25 48 75 26 22 52 52 23 24 22 48 98 22 50 26 
194 193 
234 101 46 99 
51 46 140 98 71 47 147 
-1 
120 74 52 182 125 25 
-1 
31 34 34 171 92 218 
294 
293 332 
232 
383 
-1 
76 
-1 
-1 
70 23 23 92 90 150 
49 99 22 205 
-1 
541 
-1 
-1 
54 49 19 69 20 106 23 
49 92 80 22 248 22 49 
-1 
36 47 41 
141 507 
-1 
69 91 357 21 92 26 
573 
-1 
-1 
-1 
-1 
120 358 
50 
110 25 26 51 90 71 
301 66 72 95 
-1 
196 101 
97 100 44 45 44 51 20 120 22 68 
71 72 71 70 
-1 
-1 
510 
657 
-1 
70 73 48 73 26 162 
25 23 45 103 50 22 27 70 25 26 23 121 145 
-1 
499 
-1 
99 137 47 23 25 164 25 24 
-1 
190 102 121 
168 337 
52 22 41 25 146 77 24 28 21 47 25 23 26 70 21 
109 195 18 
121 27 
-1 
462 27 
-1 
441 
503 143 
70 136 127 
22 283 
-1 
-1 
74 285 
92 233 198 49 
458 
25 145 255 25 213 
-1 
-1 
299 289 
-1 
47 
163 473 
174 
108 15 16 261 27 
92 51 191 45 
146 383 
169 168 
-1 
-1 
-1 
505 
23 97 47 120 145 221 
477 121 
107 141 
289 335 
211 70 
-1 
93 94 66 
-1 
51 71 144 116 165 
182 23 23 121 160 23 21 
-1 
21 72 142 184 46 24 201 
-1 
-1 
-1 
234 
398 42 21 118 24 
77 
-1 
-1 
524 
67 71 73 24 49 67 70 173 25 71 
23 50 22 25 66 22 19 49 45 24 25 21 44 25 25 23 24 25 26 24 25 50 
-1 
196 76 220 
217 
169 
24 45 47 291 29 
-1 
146 43 48 139 48 49 49 
-1 
-1 
333 
76 154 114 23 47 139 
122 28 73 15 12 75 58 226 12 
-1 
209 22 
-1 
54 274 25 
317 25 49 98 21 41 
-1 
-1 
-1 
-1 
50 419 45 
412 22 71 
44 48 145 46 50 98 46 49 50 43 
-1 
-1 
-1 
70 
-1 
586 
-1 
73 
-1 
351 143 
119 
566 
331 
-1 
-1 
-1 
138 
-1 
92 23 22 126 
-1 
384 
23 27 25 49 45 25 153 23 46 22 29 70 26 25 
-1 
-1 
44 466 
513 
51 
167 
-1 
263 
-1 
18 50 21 21 289 189 
-1 
