52,81,True,510,24
3,97,True,550,30
60,29,True,443,51
91,54,True,1478,18
18,99,True,101,24
76,77,True,1107,66
84,87,True,1022,42
66,79,True,1010,55
31,38,True,409,49
27,47,True,1247,41
67,20,True,118,34
31,60,True,1320,18
23,45,True,1518,81
87,37,True,1414,31
95,96,True,1418,45
85,87,True,1580,28
33,19,True,1750,44
33,96,True,885,23
82,27,True,68,31
39,40,True,948,20
83,78,True,818,47
4,1,True,1869,74
51,53,True,48,21
65,74,True,1646,51
37,7,True,355,32
40,62,True,231,23
66,97,True,930,67
66,27,True,1824,152
7,76,True,519,47
97,86,True,1182,26
10,19,True,774,26
38,83,True,1504,30
78,26,True,492,38
63,23,True,1948,55
94,58,True,1161,39
77,97,True,953,14
74,67,True,1857,82
60,26,True,1147,28
49,47,True,519,15
24,14,True,1,15
58,7,True,710,30
14,17,True,724,27
49,23,True,1992,110
6,28,True,699,17
91,51,True,1051,34
43,92,True,779,43
69,47,True,1537,25
18,98,True,1637,19
48,87,True,636,43
20,93,True,1135,34
9,68,True,1192,24
17,45,True,1064,16
55,13,True,1346,66
81,10,True,1632,28
40,57,True,212,17
39,81,True,832,19
39,78,True,1065,30
15,62,True,48,39
54,34,True,1308,60
88,56,True,329,11
13,25,True,931,22
94,76,True,1365,80
95,74,True,1732,58
35,75,True,43,17
22,58,True,1365,44
94,95,True,363,103
78,90,True,338,29
81,3,True,745,23
5,34,True,130,18
74,12,True,591,63
69,48,True,72,17
62,31,True,1504,30
65,20,True,429,29
97,12,True,808,30
6,80,True,1287,23
83,87,True,218,18
71,18,True,567,15
51,71,True,1431,23
1,3,True,374,15
78,12,True,936,16
47,81,True,615,64
15,60,True,809,63
48,55,True,1435,24
59,44,True,277,7
43,21,True,1341,59
68,47,True,1935,116
85,82,True,1446,38
96,23,True,1560,27
37,23,True,770,25
30,59,True,1029,27
70,62,True,350,20
60,75,True,1007,20
28,61,True,1022,89
47,51,True,1618,50
94,57,True,72,19
3,79,True,1351,30
70,21,True,1416,94
72,71,True,1198,65
31,35,True,380,48
60,47,True,954,38
17,98,True,1184,31
3,10,True,485,24
86,73,True,238,17
69,52,True,1953,48
61,86,True,1,16
67,96,True,1501,53
21,35,True,1793,28
24,83,True,980,12
17,94,True,1870,69
76,10,True,1663,32
36,37,True,152,11
64,51,True,1280,29
95,17,True,138,26
39,9,True,725,22
21,2,True,259,21
17,55,True,1563,38
57,92,True,1637,25
48,19,True,1512,19
11,3,True,539,21
43,46,True,1480,66
14,9,True,746,27
78,63,True,351,16
1,8,True,1075,26
53,38,True,404,23
75,48,True,339,13
18,91,True,1492,30
68,26,True,1488,25
68,43,True,1073,17
1,36,True,1879,34
96,2,True,772,33
86,53,True,640,15
71,66,True,1828,69
61,73,True,179,11
88,41,True,906,24
67,23,True,1548,23
9,20,True,1585,22
90,71,True,188,19
45,21,True,1180,29
90,73,True,159,13
86,40,True,1647,33
39,49,True,1132,17
81,70,True,951,14
13,31,True,1810,26
30,68,True,681,23
7,70,True,1740,37
87,99,True,570,27
62,1,True,161,11
41,64,True,1011,53
85,48,True,531,20
48,67,True,809,16
12,58,True,644,18
37,23,True,1935,92
50,21,True,656,27
53,41,True,761,17
18,35,True,1592,30
76,4,True,548,34
97,37,True,54,11
28,79,True,1401,146
92,98,True,1553,29
59,49,True,1134,42
71,91,True,1135,49
51,93,True,1896,41
50,45,True,436,20
93,8,True,690,51
83,61,True,945,56
43,39,True,1264,99
74,26,True,1034,30
59,65,True,1484,36
60,99,True,268,30
86,1,True,1735,26
32,90,True,488,18
64,23,True,1906,130
78,68,True,126,29
11,31,True,857,31
1,39,True,1336,29
5,47,True,1503,80
68,28,True,111,11
77,76,True,1470,28
57,62,True,255,20
58,40,True,1202,31
75,34,True,208,14
60,89,True,426,16
70,28,True,1379,21
53,19,True,693,37
59,64,True,1341,30
69,15,True,359,33
75,3,True,569,18
94,14,True,359,61
65,4,True,1616,52
17,25,True,1614,46
17,4,True,910,18
82,48,True,802,45
29,72,True,1613,30
23,84,True,1602,59
37,87,True,1170,16
34,46,True,92,13
1,81,True,824,35
12,60,True,1365,30
7,76,True,1767,40
20,69,True,1458,35
92,29,True,1072,21
85,13,True,245,31
57,64,True,427,18
40,66,True,428,34
34,0,True,2,5
66,43,True,895,156
11,5,True,1831,66
63,52,True,1514,65
66,76,True,1786,78
11,72,True,1433,102
22,74,True,1736,60
87,96,True,1086,27
67,92,True,2,18
40,97,True,1110,24
34,30,True,407,15
85,65,True,980,43
31,50,True,1564,44
34,92,True,1329,35
55,26,True,1849,41
80,42,True,1158,21
87,47,True,1628,41
78,46,True,1658,25
31,49,True,1593,38
74,60,True,1126,25
4,13,True,257,11
69,17,True,1513,28
